id,name,value
420,Mallory,9901
421,Ivan,433
422,Carol,3760
423,Alice,4425
424,Bob,2880
425,Trent,8512
426,Sybil,4567
427,Frank,9600
428,Peggy,8066
429,Carol,7710
430,Niaj,6700
431,Mallory,5270
432,Dave,2644
433,Mallory,6754
434,Trent,4732
435,Olivia,9022
436,Bob,7461
437,Carol,5163
438,Ivan,5306
439,Dave,6632
440,Victor,28
441,Wendy,7579
442,Peggy,898
443,Grace,8504
444,Niaj,8177
445,Sybil,855
446,Grace,4385
447,Wendy,2156
448,Judy,7188
449,Trent,1999
450,Alice,9985
451,Heidi,2604
452,Judy,9034
453,Alice,9058
454,Peggy,1537
455,Heidi,1868
456,Sybil,1934
457,Eve,8175
458,Judy,8347
459,Ivan,6817
460,Trent,7746
461,Heidi,7493
462,Wendy,2379
463,Olivia,3132
464,Victor,2246
465,Carol,4536
466,Peggy,5578
467,Victor,4387
468,Alice,4644
469,Judy,9626
470,Trent,2444
471,Sybil,8834
472,Trent,5664
473,Mallory,9052
474,Wendy,6190
475,Sybil,5282
476,Grace,3922
477,Olivia,3836
478,Peggy,725
479,Mallory,7759
480,Olivia,6335
481,Eve,8125
482,Bob,2078
483,Victor,9679
484,Mallory,1654
485,Sybil,1643
486,Victor,7496
487,Alice,2371
488,Peggy,2539
489,Carol,7702
490,Ivan,5556
491,Olivia,1325
492,Mallory,8752
493,Olivia,5198
494,Trent,8874
495,Bob,1131
496,Heidi,4718
497,Heidi,1490
498,Peggy,1622
499,Dave,7279
500,Frank,4916
501,Alice,763
502,Mallory,929
503,Judy,5883
504,Niaj,7066
505,Eve,4010
506,Victor,6761
507,Frank,2795
508,Frank,1303
509,Olivia,3955
510,Trent,9564
511,Eve,3814
512,Sybil,4171
513,Sybil,4193
514,Alice,7632
515,Judy,8965
516,Frank,1220
517,Sybil,5671
518,Judy,6961
519,Ivan,7494
520,Judy,3273
521,Olivia,7926
522,Dave,3896
523,Olivia,9380
524,Niaj,9427
525,Judy,4847
526,Alice,6494
527,Ivan,142
528,Bob,9945
529,Trent,4699
530,Heidi,9956
531,Niaj,3598
532,Grace,4116
533,Eve,1601
534,Bob,5071
535,Sybil,556
536,Niaj,2163
537,Carol,4845
538,Mallory,6817
539,Frank,3299
540,Eve,8847
541,Niaj,8707
542,Victor,4475
543,Frank,4220
544,Trent,4845
545,Mallory,1896
546,Sybil,1243
547,Eve,3706
548,Olivia,9141
549,Niaj,1489
550,Olivia,238
551,Ivan,8801
552,Dave,7461
553,Niaj,4305
554,Olivia,6096
555,Dave,3840
556,Trent,420
557,Wendy,5384
558,Heidi,1045
559,Sybil,4961
560,Peggy,1921
561,Eve,752
562,Bob,4996
563,Trent,1912
564,Dave,3856
565,Wendy,2232
566,Olivia,7442
567,Niaj,8860
568,Peggy,9632
569,Eve,6807
570,Dave,8027
571,Peggy,4593
572,Bob,6080
573,Grace,7274
574,Sybil,3878
575,Niaj,1637
576,Niaj,8930
577,Niaj,1002
578,Olivia,4530
579,Grace,2011
580,Sybil,1511
581,Grace,9793
582,Alice,838
583,Mallory,4000
584,Eve,9260
585,Grace,1134
586,Wendy,3404
587,Grace,3827
588,Mallory,2427
589,Alice,4552
590,Eve,2139
591,Wendy,4116
592,Frank,1811
593,Alice,2169
594,Alice,5879
595,Heidi,9657
596,Mallory,268
597,Frank,4357
598,Bob,2086
599,Peggy,8629
600,Dave,1051
601,Trent,7354
602,Niaj,8418
603,Dave,7415
604,Victor,3639
605,Bob,8553
606,Judy,7514
607,Alice,1006
608,Trent,6590
609,Peggy,1778
610,Trent,7277
611,Carol,1333
612,Mallory,9976
613,Eve,1086
614,Eve,4515
615,Wendy,5337
616,Olivia,9797
617,Victor,4841
618,Sybil,8292
619,Peggy,1634
620,Dave,9043
621,Grace,7056
622,Sybil,3753
623,Peggy,5563
624,Sybil,6542
625,Peggy,1567
626,Mallory,7002
627,Mallory,4186
628,Niaj,2510
629,Trent,1109
630,Carol,1408
631,Carol,7085
632,Dave,6115
633,Eve,9125
634,Bob,9618
635,Wendy,9212
636,Mallory,2012
637,Peggy,5803
638,Peggy,852
639,Judy,9847
640,Judy,5771
641,Dave,9478
642,Victor,3495
643,Eve,7910
644,Heidi,1783
645,Niaj,9123
646,Niaj,1892
647,Ivan,9416
648,Heidi,7040
649,Wendy,9131
650,Alice,9987
651,Ivan,484
652,Frank,4487
653,Judy,5577
654,Niaj,110
655,Frank,2357
656,Olivia,1150
657,Eve,512
658,Carol,8701
659,Grace,6173
660,Peggy,7442
661,Mallory,2588
662,Niaj,5115
663,Mallory,9309
664,Carol,871
665,Eve,2589
666,Bob,1346
667,Ivan,7269
668,Peggy,7967
669,Sybil,6795
670,Ivan,3541
671,Victor,1874
672,Niaj,7053
673,Dave,4650
674,Trent,8643
675,Judy,754
676,Heidi,6485
677,Bob,135
678,Grace,4948
679,Grace,2258
680,Ivan,4752
681,Mallory,1975
682,Alice,8159
683,Peggy,2888
684,Eve,6239
685,Wendy,3780
686,Victor,9164
687,Niaj,1190
688,Olivia,703
689,Peggy,317
690,Sybil,1285
691,Mallory,9443
692,Peggy,9404
693,Olivia,6853
694,Judy,1897
695,Olivia,351
696,Mallory,2825
697,Sybil,5938
698,Carol,7165
699,Dave,3996
700,Peggy,9658
701,Olivia,8594
702,Carol,6494
703,Judy,5572
704,Heidi,5466
705,Frank,1261
706,Victor,1878
707,Victor,8365
708,Grace,5734
709,Niaj,2429
710,Heidi,1694
711,Eve,4203
712,Grace,2852
713,Eve,1244
714,Frank,8105
715,Sybil,9246
716,Sybil,9258
717,Mallory,5189
718,Eve,7215
719,Carol,7692
720,Sybil,4971
721,Ivan,9699
722,Bob,5776
723,Victor,1225
724,Judy,7575
725,Sybil,626
726,Bob,6051
727,Judy,1267
728,Carol,9743
729,Victor,6309
730,Sybil,9518
731,Wendy,682
732,Sybil,9376
733,Grace,5277
734,Trent,8224
735,Eve,1023
736,Sybil,1705
737,Mallory,1391
738,Victor,2837
739,Bob,4069
740,Sybil,7209
741,Victor,8574
742,Frank,5972
743,Niaj,4644
744,Olivia,6707
745,Mallory,9805
746,Bob,5492
747,Carol,5411
748,Dave,9151
749,Olivia,4665
750,Ivan,9884
751,Eve,5471
752,Carol,9557
753,Eve,5741
754,Judy,6431
755,Eve,9759
756,Carol,5082
757,Wendy,6181
758,Mallory,2103
759,Victor,1541
760,Peggy,8341
761,Niaj,308
762,Niaj,5070
763,Frank,3519
764,Mallory,7977
765,Grace,3721
766,Eve,2548
767,Carol,4856
768,Dave,8327
769,Wendy,8636
770,Bob,5527
771,Eve,9795
772,Olivia,2537
773,Frank,2972
774,Frank,7180
775,Bob,6741
776,Niaj,3901
777,Sybil,4678
778,Sybil,3843
779,Wendy,3928
780,Judy,7694
781,Grace,6036
782,Sybil,7574
783,Judy,6266
784,Victor,8651
785,Peggy,2665
786,Grace,9916
787,Eve,4106
788,Bob,7883
789,Niaj,9095
790,Dave,8462
791,Dave,4680
792,Carol,2636
793,Ivan,7371
794,Victor,2424
795,Peggy,1512
796,Heidi,7401
797,Niaj,446
798,Peggy,882
799,Olivia,8234
800,Niaj,3872
801,Olivia,1347
802,Niaj,3688
803,Alice,5231
804,Dave,5503
805,Eve,2264
806,Bob,4710
807,Trent,2283
808,Trent,7359
809,Alice,1308
810,Alice,4203
811,Grace,2459
812,Wendy,9985
813,Victor,6944
814,Dave,4730
815,Heidi,4944
816,Dave,792
817,Heidi,6888
818,Sybil,1039
819,Dave,8199
820,Wendy,279
821,Victor,9431
822,Heidi,2362
823,Judy,7042
824,Alice,5790
825,Heidi,9359
826,Peggy,3078
827,Carol,8586
828,Niaj,1118
829,Victor,8924
830,Victor,8326
831,Wendy,343
832,Olivia,7712
833,Bob,6348
834,Niaj,4165
835,Alice,5860
836,Carol,5659
837,Heidi,1708
838,Mallory,2195
839,Bob,5782
840,Wendy,5556
841,Frank,7622
842,Trent,2996
843,Eve,1043
844,Sybil,615
845,Judy,3312
846,Bob,3278
847,Bob,5180
848,Judy,8454
849,Olivia,8907
850,Trent,4160
851,Bob,3141
852,Judy,5858
853,Bob,5448
854,Ivan,2049
855,Niaj,7169
856,Olivia,7214
857,Olivia,5564
858,Frank,8139
859,Trent,6028
860,Victor,4379
861,Carol,6965
862,Carol,7065
863,Frank,8947
864,Judy,5272
865,Dave,1321
866,Mallory,4853
867,Judy,7315
868,Peggy,2740
869,Sybil,5769
870,Sybil,703
871,Niaj,7136
872,Ivan,949
873,Carol,6665
874,Niaj,8416
875,Frank,520
876,Eve,9964
877,Sybil,580
878,Eve,1111
879,Heidi,6011
880,Niaj,6282
881,Bob,9923
882,Eve,7381
883,Niaj,6105
884,Sybil,1269
885,Eve,8684
886,Niaj,6531
887,Mallory,4576
888,Heidi,1868
889,Alice,3058
890,Trent,8492
891,Olivia,9212
892,Dave,4298
893,Ivan,7321
894,Grace,4688
895,Trent,3289
896,Dave,2233
897,Carol,7416
898,Frank,7302
899,Carol,5246
900,Niaj,1073
901,Wendy,8892
902,Judy,4924
903,Frank,2862
904,Niaj,8345
905,Heidi,1998
906,Grace,2285
907,Heidi,8104
908,Alice,5922
909,Wendy,9386
910,Niaj,7667
911,Wendy,2136
912,Carol,1087
913,Judy,6533
914,Trent,8622
915,Peggy,6718
916,Carol,2063
917,Mallory,1225
918,Sybil,7642
919,Victor,5654
920,Eve,9042
921,Frank,2124
922,Peggy,8248
923,Bob,2044
924,Victor,2517
925,Judy,2707
926,Frank,5296
927,Heidi,5679
928,Victor,4663
929,Carol,4115
930,Grace,9034
931,Ivan,2060
932,Judy,8750
933,Carol,8244
934,Frank,9706
935,Eve,2814
936,Mallory,9244
937,Bob,474
938,Carol,754
939,Ivan,3463
940,Peggy,506
941,Trent,8948
942,Judy,4959
943,Trent,4022
944,Olivia,4883
945,Sybil,1205
946,Bob,2599
947,Sybil,6819
948,Trent,7619
949,Grace,5583
950,Eve,5131
951,Mallory,5668
952,Olivia,2152
953,Niaj,8447
954,Wendy,1749
955,Mallory,3970
956,Sybil,2017
957,Ivan,7376
958,Heidi,2318
959,Dave,839
960,Judy,6303
961,Peggy,4077
962,Frank,5374
963,Mallory,3120
964,Frank,8173
965,Victor,7658
966,Trent,5065
967,Trent,389
968,Carol,6452
969,Victor,7501
970,Heidi,3534
971,Niaj,807
972,Bob,4619
973,Trent,9799
974,Trent,4691
975,Wendy,143
976,Dave,7070
977,Eve,4343
978,Niaj,6616
979,Niaj,751
980,Olivia,848
981,Wendy,3199
982,Niaj,9074
983,Judy,1214
984,Olivia,8271
985,Sybil,9018
986,Ivan,1956
987,Eve,1594
988,Olivia,6124
989,Mallory,9149
990,Niaj,2373
991,Grace,9880
992,Victor,6586
993,Victor,669
994,Bob,647
995,Eve,5466
996,Trent,8518
997,Sybil,2450
998,Victor,2300
999,Mallory,5228
1000,Frank,6448
1001,Judy,9737
1002,Mallory,8321
1003,Victor,8731
1004,Trent,9232
1005,Judy,7790
1006,Alice,6045
1007,Mallory,1805
1008,Peggy,9573
1009,Judy,446
1010,Trent,4360
1011,Heidi,851
1012,Trent,2803
1013,Victor,6239
1014,Eve,3978
1015,Bob,9390
1016,Dave,3135
1017,Alice,7235
1018,Mallory,6871
1019,Eve,6775
1020,Grace,6733
1021,Victor,7736
1022,Bob,2272
1023,Victor,3407
1024,Wendy,5335
1025,Trent,8619
1026,Olivia,5150
1027,Frank,7541
1028,Wendy,5618
1029,Wendy,5814
1030,Ivan,7942
1031,Grace,4048
1032,Ivan,9153
1033,Judy,3694
1034,Judy,4745
1035,Grace,8021
1036,Mallory,7871
1037,Niaj,9193
1038,Ivan,4725
1039,Dave,9405
1040,Wendy,6230
1041,Olivia,5664
1042,Eve,4768
1043,Bob,4722
1044,Carol,5684
1045,Sybil,4211
1046,Trent,3515
1047,Grace,8834
1048,Ivan,9218
1049,Ivan,2259
1050,Dave,9624
1051,Heidi,3982
1052,Bob,8710
1053,Heidi,3824
1054,Bob,1651
1055,Peggy,5421
1056,Trent,1657
1057,Eve,94
1058,Wendy,2597
1059,Peggy,7803
1060,Trent,3277
1061,Judy,5272
1062,Judy,979
1063,Carol,9416
1064,Heidi,8777
1065,Bob,2878
1066,Peggy,2890
1067,Bob,6514
1068,Trent,3062
1069,Judy,623
1070,Alice,4898
1071,Dave,5499
1072,Judy,7454
1073,Wendy,8600
1074,Trent,2208
1075,Victor,7678
1076,Ivan,3169
1077,Dave,5427
1078,Frank,7528
1079,Ivan,3060
1080,Alice,5533
1081,Judy,9312
1082,Grace,2885
1083,Olivia,7017
1084,Victor,5382
1085,Carol,6577
1086,Dave,3037
1087,Eve,7832
1088,Mallory,4074
1089,Alice,4282
1090,Olivia,3868
1091,Sybil,4384
1092,Mallory,4957
1093,Alice,4295
1094,Niaj,3881
1095,Bob,1946
1096,Sybil,5036
1097,Frank,6652
1098,Victor,5105
1099,Dave,4843
1100,Niaj,3628
1101,Heidi,2198
1102,Trent,2519
1103,Sybil,9934
1104,Niaj,6823
1105,Wendy,7724
1106,Wendy,3588
1107,Heidi,9771
1108,Carol,8619
1109,Sybil,8663
1110,Niaj,1289
1111,Dave,1021
1112,Wendy,8291
1113,Grace,9393
1114,Wendy,2465
1115,Frank,5385
1116,Victor,7249
1117,Dave,3375
1118,Trent,1499
1119,Victor,7308
1120,Bob,7439
1121,Eve,8419
1122,Peggy,7494
1123,Bob,9165
1124,Sybil,5059
1125,Alice,6497
1126,Ivan,59
1127,Grace,9485
1128,Carol,752
1129,Peggy,5654
1130,Carol,8876
1131,Bob,1140
1132,Trent,529
1133,Judy,6708
1134,Frank,2228
1135,Peggy,6145
1136,Olivia,7358
1137,Olivia,6164
1138,Carol,8845
1139,Eve,5707
1140,Dave,2934
1141,Wendy,6449
1142,Victor,2096
1143,Heidi,66
1144,Alice,4898
1145,Sybil,8930
1146,Peggy,8725
1147,Olivia,3772
1148,Heidi,7556
1149,Niaj,2551
1150,Ivan,3098
1151,Dave,537
1152,Peggy,266
1153,Heidi,3386
1154,Carol,1663
1155,Bob,7324
1156,Bob,4019
1157,Bob,6600
1158,Sybil,3849
1159,Wendy,3569
1160,Bob,2305
1161,Victor,4749
1162,Heidi,9448
1163,Mallory,9471
1164,Mallory,3891
1165,Judy,2357
1166,Victor,3631
1167,Peggy,4933
1168,Ivan,1008
1169,Wendy,9703
1170,Frank,7009
1171,Wendy,8130
1172,Bob,5652
1173,Olivia,8602
1174,Mallory,6831
1175,Peggy,2454
1176,Judy,6177
1177,Frank,8823
1178,Trent,3958
1179,Heidi,4937
1180,Eve,7596
1181,Bob,9224
1182,Peggy,6834
1183,Wendy,8693
1184,Eve,6373
1185,Heidi,4187
1186,Grace,5421
1187,Carol,7379
1188,Niaj,1524
1189,Wendy,3130
1190,Bob,4408
1191,Olivia,9921
1192,Bob,1202
1193,Grace,9636
1194,Wendy,3565
1195,Trent,3432
1196,Mallory,4977
1197,Alice,3480
1198,Grace,1932
1199,Trent,3984
1200,Grace,6508
1201,Heidi,9055
1202,Mallory,4647
1203,Olivia,7649
1204,Wendy,5896
1205,Judy,4295
1206,Niaj,8411
1207,Trent,7645
1208,Dave,7702
1209,Mallory,3338
1210,Niaj,5136
1211,Peggy,759
1212,Heidi,2400
1213,Alice,4282
1214,Wendy,9578
1215,Peggy,4846
1216,Eve,3224
1217,Mallory,3778
1218,Olivia,9345
1219,Heidi,8190
1220,Wendy,5540
1221,Ivan,8015
1222,Trent,7560
1223,Frank,5780
1224,Frank,2303
1225,Wendy,8010
1226,Frank,8892
1227,Bob,8594
1228,Bob,1227
1229,Bob,114
1230,Peggy,2262
1231,Heidi,1123
1232,Eve,159
1233,Grace,8295
1234,Sybil,6124
1235,Bob,7926
1236,Trent,267
1237,Alice,8729
1238,Wendy,6749
1239,Alice,284
1240,Victor,4511
1241,Wendy,4707
1242,Alice,8238
1243,Peggy,2947
1244,Dave,1588
1245,Victor,2449
1246,Heidi,3154
1247,Victor,4145
1248,Niaj,4389
1249,Olivia,1304
1250,Niaj,6662
1251,Sybil,9266
1252,Heidi,3710
1253,Judy,1330
1254,Bob,1541
1255,Olivia,6223
1256,Olivia,9065
1257,Trent,929
1258,Alice,2817
1259,Carol,8199
1260,Peggy,5437
1261,Dave,8663
1262,Bob,3774
1263,Grace,9296
1264,Trent,4451
1265,Bob,1228
1266,Ivan,8907
1267,Bob,2948
1268,Mallory,266
1269,Grace,9627
1270,Eve,6535
1271,Carol,4913
1272,Frank,9249
1273,Heidi,9294
1274,Olivia,8866
1275,Mallory,6298
1276,Eve,1294
1277,Victor,5676
1278,Bob,1610
1279,Peggy,3813
1280,Carol,5590
1281,Olivia,5357
1282,Alice,4488
1283,Sybil,8048
1284,Heidi,5839
1285,Wendy,6160
1286,Peggy,3053
1287,Olivia,1414
1288,Judy,4047
1289,Carol,1354
1290,Ivan,2536
1291,Olivia,2537
1292,Olivia,5198
1293,Niaj,1755
1294,Carol,95
1295,Judy,7296
1296,Niaj,4429
1297,Dave,2180
1298,Carol,3080
1299,Peggy,7363
1300,Wendy,9098
1301,Victor,6695
1302,Dave,440
1303,Carol,5808
1304,Wendy,1534
1305,Mallory,6321
1306,Alice,4791
1307,Peggy,6363
1308,Carol,9177
1309,Heidi,9380
1310,Victor,2788
1311,Olivia,2787
1312,Eve,4415
1313,Judy,4407
1314,Trent,2400
1315,Carol,2749
1316,Peggy,4531
1317,Peggy,4921
1318,Trent,1270
1319,Niaj,4133
1320,Heidi,8133
1321,Grace,7511
1322,Dave,2229
1323,Judy,120
1324,Olivia,5453
1325,Olivia,5409
1326,Sybil,5494
1327,Peggy,9748
1328,Eve,4932
1329,Mallory,9893
1330,Grace,7858
1331,Mallory,2920
1332,Olivia,5238
1333,Judy,8054
1334,Heidi,5349
1335,Olivia,4602
1336,Olivia,5990
1337,Dave,9248
1338,Grace,9713
1339,Wendy,2957
1340,Wendy,450
1341,Sybil,3444
1342,Sybil,4783
1343,Carol,6713
1344,Trent,2290
1345,Judy,3975
1346,Ivan,2535
1347,Peggy,6186
1348,Carol,7367
1349,Trent,9549
1350,Olivia,8765
1351,Victor,6863
1352,Wendy,612
1353,Niaj,8806
1354,Carol,1801
1355,Heidi,5826
1356,Frank,735
1357,Olivia,5442
1358,Peggy,1745
1359,Alice,1625
1360,Ivan,3647
1361,Victor,8509
1362,Wendy,9521
1363,Heidi,7313
1364,Niaj,6418
1365,Sybil,9653
1366,Victor,2479
1367,Niaj,412
1368,Trent,1722
1369,Judy,6825
1370,Carol,1911
1371,Eve,5717
1372,Judy,5630
1373,Sybil,3399
1374,Victor,7922
1375,Niaj,7811
1376,Dave,7188
1377,Sybil,5235
1378,Carol,4929
1379,Bob,1895
1380,Alice,5630
1381,Dave,2702
1382,Heidi,8464
1383,Frank,9052
1384,Frank,5432
1385,Wendy,6995
1386,Sybil,3808
1387,Olivia,3032
1388,Frank,7090
1389,Olivia,488
1390,Grace,7375
1391,Peggy,6380
1392,Alice,3529
1393,Grace,4570
1394,Carol,9469
1395,Dave,8806
1396,Frank,6003
1397,Mallory,3238
1398,Sybil,1877
1399,Ivan,8029
1400,Victor,5144
1401,Olivia,6441
1402,Dave,5710
1403,Niaj,7511
1404,Frank,4883
1405,Carol,2204
1406,Mallory,1941
1407,Heidi,5013
1408,Dave,3009
1409,Niaj,2326
1410,Victor,6374
1411,Peggy,9781
1412,Eve,9427
1413,Olivia,6941
1414,Frank,7983
1415,Wendy,2848
1416,Wendy,2743
1417,Trent,4742
1418,Eve,3075
1419,Mallory,7399
1420,Bob,5892
1421,Alice,7949
1422,Eve,3206
1423,Olivia,9210
1424,Victor,8119
1425,Peggy,8066
1426,Peggy,7282
1427,Trent,2750
1428,Carol,9273
1429,Alice,3623
1430,Judy,545
1431,Ivan,3693
1432,Wendy,4739
1433,Frank,7502
1434,Trent,9016
1435,Victor,1864
1436,Dave,4399
1437,Wendy,6020
1438,Wendy,691
1439,Sybil,8961
1440,Grace,6975
1441,Dave,4065
1442,Judy,538
